"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
517,2.1762402,517,0.25781304,62664.8783337448,,
518,2.181185,518,0.26277697,63748.12343510312,,
519,2.1885705,519,0.26813972,64923.759112726344,,
520,2.1959562,520,0.27350244,66094.86586483718,,
521,2.205101,521,0.27836055,67139.7665204771,,
522,2.2185526,522,0.28198314,67883.23073258101,,
523,2.2320042,523,0.2856057,68623.84466106084,,
524,2.246706,524,0.28768077,68990.51859626373,,
525,2.266738,525,0.28315848,67776.65528149733,,
526,2.2867696,526,0.2786362,66567.40980564078,,
527,2.3066943,527,0.27331948,65173.31844030227,,
528,2.3245807,528,0.2529094,60192.29644422746,,
529,2.3424673,529,0.2324993,55230.10153835685,,
530,2.3603537,530,0.21208921,50286.63426729531,,
531,2.3620338,531,0.1840268,43550.82809368272,,
532,2.3615043,532,0.15492088,36593.85702974932,,
533,2.3609748,533,0.12581496,29662.990922903846,,
534,2.349229,534,0.107187815,25224.0039069919,,
535,2.3319592,535,0.09372186,22013.899578076347,,
536,2.3146892,536,0.08025591,18815.774422624152,,
537,2.303291,537,0.069761775,16324.996636229727,,
538,2.3003428,538,0.06354415,14842.366901011734,,
539,2.2973945,539,0.057326514,13365.236010264376,,
540,2.2935927,540,0.050755866,11811.426352013921,,
541,2.2835326,541,0.041596405,9662.030341127227,,
542,2.2734728,542,0.032436945,7520.5659126860655,,
543,2.2634127,543,0.023277486,5386.989245792947,,
544,2.2535641,544,0.018572403,4290.215060610959,,
545,2.2437718,545,0.015051394,3470.4843168209536,,
546,2.2339795,546,0.011530385,2653.756249748128,,
547,2.2250578,547,0.00894274,2054.4384853355455,,
548,2.2173386,548,0.007644027,1752.8773041636516,,
549,2.2096193,549,0.006345313,1452.4144776340845,,
550,2.2019,550,0.0050466,1153.0444716804548,,
551,2.1958017,551,0.004584692,1045.6068752211902,,
552,2.1897035,552,0.004122785,938.5587730674055,,
553,2.1836052,553,0.003660877,831.8975977501512,,
554,2.1781,554,0.003370717,764.5790443704135,,
555,2.1731,555,0.00322686,730.6291654171358,,
556,2.1681,556,0.003083003,696.8014083305967,,
557,2.1631322,557,0.002943656,664.1126078488701,,
558,2.1589348,558,0.002912557,655.9188297033354,,
559,2.1547377,559,0.002881459,647.7545922018027,,
560,2.1505406,560,0.00285036,639.6192882918716,,
561,2.1466255,561,0.002834254,634.8714113944732,,
562,2.1430044,562,0.002833753,633.6297229101806,,
563,2.1393833,563,0.002833252,632.3924453974131,,
564,2.1357622,564,0.00283275,631.1593325855665,,
565,2.132507,565,0.002831983,629.8716451604378,,
566,2.129293,566,0.002831186,628.5818472470863,,
