"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
429,0.0523,429,2.0966,614141.0869479125,,
430,0.052,430,2.1076,615927.5048098465,,
431,0.0518,431,2.1185,617676.4767173993,,
432,0.0515,432,2.1294,619417.3515327876,,
433,0.0513,433,2.1402,621121.1637148154,,
434,0.0511,434,2.151,622817.1242278013,,
435,0.0509,435,2.1618,624505.2872211876,,
436,0.0507,436,2.1725,626156.8843966813,,
437,0.0505,437,2.1832,627800.922775033,,
438,0.0503,438,2.1938,629408.7637849578,,
439,0.0501,439,2.2045,631037.904768902,,
440,0.0499,440,2.215,632602.5207001265,,
441,0.0497,441,2.2256,634188.5360389518,,
442,0.0495,442,2.2361,635738.944135035,,
443,0.0494,443,2.2466,637282.3526460342,,
444,0.0492,444,2.257,638790.5062299247,,
445,0.049,445,2.2675,640320.1206305489,,
446,0.0489,446,2.2778,641786.5243360386,,
447,0.0487,447,2.2882,643274.4796370617,,
448,0.0486,448,2.2985,644727.742346084,,
449,0.0485,449,2.3088,646174.5317245537,,
450,0.0483,450,2.3191,647614.890928008,,
451,0.0482,451,2.3293,649020.9993797521,,
452,0.0481,452,2.3395,650420.8861126833,,
453,0.048,453,2.3497,651814.5923302373,,
454,0.0478,454,2.3599,653202.158872824,,
455,0.0477,455,2.37,654556.0078248625,,
456,0.0476,456,2.3801,655903.9188429007,,
457,0.0475,457,2.3902,657245.9309068117,,
458,0.0474,458,2.4002,658554.6451656088,,
459,0.0473,459,2.4103,659885.0346795188,,
460,0.0472,460,2.4203,661182.3216942067,,
461,0.0472,461,2.4302,662446.7216272379,,
462,0.0471,462,2.4402,663732.8479038799,,
463,0.047,463,2.4501,664986.2773702247,,
464,0.0469,464,2.46,666234.3041233527,,
465,0.0468,465,2.4699,667476.9630194779,,
466,0.0468,466,2.4797,668687.3221550738,,
467,0.0467,467,2.4896,669919.4064562868,,
468,0.0467,468,2.4994,671119.3742207119,,
469,0.0466,469,2.5092,672314.2248518132,,
470,0.0465,470,2.5189,673477.2540533898,,
471,0.0465,471,2.5287,674662.0248944807,,
472,0.0464,472,2.5384,675815.1518535875,,
473,0.0464,473,2.5481,676963.4030115985,,
474,0.0464,474,2.5578,678106.8092280146,,
475,0.0463,475,2.5675,679245.401102467,,
476,0.0463,476,2.5771,680352.8090391812,,
477,0.0462,477,2.5867,681455.573756035,,
478,0.0462,478,2.5963,682553.7243945757,,
479,0.0462,479,2.6059,683647.2898529973,,
480,0.0462,480,2.6155,684736.2987886752,,
481,0.0461,481,2.625,685794.6541100381,,
482,0.0461,482,2.6345,686848.6179155443,,
483,0.0461,483,2.644,687898.2174816906,,
484,0.0461,484,2.6535,688943.4798595469,,
