"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
865,2.02581,865,0.00124,180.14219146595806,,
870,2.02522,870,0.00126,181.99571234589146,,
875,2.02465,875,0.00128,183.8280501300542,,
880,2.02408,880,0.0013,185.6395658939423,,
885,2.02352,885,0.00133,188.85054143613223,,
890,2.02297,890,0.00135,190.61348684702116,,
895,2.02243,895,0.00137,192.35673454382197,,
900,2.02189,900,0.0014,195.47687622336494,,
905,2.02136,905,0.00142,197.17399196011078,,
910,2.02083,910,0.00144,198.85245807337597,,
915,2.02032,915,0.00147,201.88595413232767,,
920,2.01981,920,0.00149,203.5205675586431,,
925,2.0193,925,0.00152,206.49603604136152,,
930,2.0188,930,0.00154,208.08828759261425,,
935,2.01831,935,0.00157,211.00750657266204,,
940,2.01782,940,0.00159,212.55882209394773,,
945,2.01734,945,0.00162,215.42349624615724,,
950,2.01687,950,0.00164,216.9352400794636,,
955,2.0164,955,0.00167,219.74700446052165,,
960,2.01593,960,0.00169,221.22048269028127,,
965,2.01547,965,0.00172,223.98090628702357,,
970,2.01501,970,0.00175,226.71287190854176,,
975,2.01456,975,0.00178,229.41681736983926,,
980,2.01411,980,0.0018,230.81088883516847,,
985,2.01367,985,0.00183,233.46658095712982,,
990,2.01324,990,0.00186,236.09544790614206,,
995,2.0128,995,0.00189,238.69789408179736,,
1000,2.01237,1000,0.00192,241.27431579569614,,
1005,2.01195,1005,0.00194,242.57471633688357,,
1010,2.01153,1010,0.00197,245.1064367355205,,
1015,2.01111,1015,0.002,247.61321407604282,,
1020,2.0107,1020,0.00203,250.09541516812865,,
1025,2.01029,1025,0.00206,252.55339966419413,,
1030,2.00988,1030,0.00209,254.98752023311332,,
1035,2.00948,1035,0.00212,257.3981227289029,,
1040,2.00908,1040,0.00215,259.7855463545406,,
1045,2.00869,1045,0.00219,263.3526473248478,,
1050,2.00829,1050,0.00222,265.688978703594,,
1055,2.00791,1055,0.00225,268.0031647612146,,
1060,2.00752,1060,0.00228,270.2955188748954,,
1065,2.00714,1065,0.00231,272.5663485368046,,
1070,2.00676,1070,0.00235,275.9903826518136,,
1075,2.00638,1075,0.00238,278.2136005783705,,
1080,2.00601,1080,0.00241,280.41623315375557,,
1085,2.00563,1085,0.00245,283.75675580811037,,
1090,2.00527,1090,0.00248,285.91375342762154,,
1095,2.0049,1095,0.00251,288.05105243873544,,
1100,2.00454,1100,0.00255,291.31131878741724,,
1105,2.00418,1105,0.00258,293.40485235336354,,
1110,2.00382,1110,0.00262,296.6116307173066,,
1115,2.00346,1115,0.00265,298.6626199825274,,
1120,2.00311,1120,0.00269,301.81729421987654,,
1125,2.00276,1125,0.00273,304.94392690844927,,
1130,2.00241,1130,0.00276,306.9308220852329,,
1135,2.00206,1135,0.0028,310.0073807947638,,
1140,2.00172,1140,0.00284,313.05695214719344,,
1145,2.00137,1145,0.00287,314.9823900717103,,
1150,2.00103,1150,0.00291,317.98381293726254,,
1155,2.0007,1155,0.00295,320.95924945765853,,
1160,2.00036,1160,0.00299,323.9090356632235,,
1165,2.00002,1165,0.00303,326.83350181552186,,
1170,1.99969,1170,0.00307,329.732972530621,,
1175,1.99936,1175,0.0031,331.5382885490505,,
1180,1.99903,1180,0.00314,334.393251941422,,
1185,1.9987,1185,0.00318,337.22412281571457,,
1190,1.99838,1190,0.00322,340.0312048591306,,
1195,1.99805,1195,0.00327,343.86637580715063,,
1200,1.99773,1200,0.00331,346.6223894460739,,
1205,1.99741,1205,0.00335,349.35553160251646,,
1210,1.99709,1210,0.00339,352.0660858072528,,
1215,1.99677,1215,0.00343,354.7543309238844,,
1220,1.99646,1220,0.00347,357.4205412444781,,
1225,1.99614,1225,0.00351,360.06498658286284,,
1230,1.99583,1230,0.00356,363.7095885131598,,
1235,1.99551,1235,0.0036,366.3071596088504,,
1240,1.9952,1240,0.00364,368.88378255054346,,
1245,1.9949,1245,0.00369,372.44905676293456,,
1250,1.99459,1250,0.00373,374.98049913247763,,
1255,1.99428,1255,0.00378,378.4930750779098,,
1260,1.99397,1260,0.00382,380.98044243533366,,
1265,1.99367,1265,0.00387,384.4415357910672,,
1270,1.99336,1270,0.00391,386.88589844208167,,
1275,1.99306,1275,0.00396,390.2966873165673,,
1280,1.99276,1280,0.00401,393.68082940297097,,
1285,1.99246,1285,0.00405,396.06070807902444,,
1290,1.99216,1290,0.0041,399.39627534009776,,
1295,1.99186,1295,0.00415,402.7060853250237,,
1300,1.99157,1300,0.00419,405.0237913397303,,
