"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
,,895,2.91297e-7,0.04089995598716183,,
,,900,2.61412e-7,0.03650000083378734,,
,,905,2.63584e-7,0.036599936265361864,,
,,910,2.69386e-7,0.037200047410107254,,
,,915,2.86157e-7,0.0393000537256085,,
,,920,2.88452e-7,0.039399942787534045,,
,,925,2.91492e-7,0.03959996219590036,,
,,930,2.93808e-7,0.03970000233831871,,
,,935,3.00596e-7,0.04040000792720759,,
,,940,3.08936e-7,0.04130004544806028,,
,,945,3.04563e-7,0.04050001622667802,,
,,950,3.1827e-7,0.04209998710981152,,
,,955,3.29065e-7,0.043300028756168604,,
,,960,3.26204e-7,0.04270000374881687,,
,,965,3.2176e-7,0.04190005605053065,,
,,970,3.4118e-7,0.0441999415072893,,
,,975,3.50698e-7,0.04520001068425162,,
,,980,3.48597e-7,0.044699990786262904,,
,,985,3.55079e-7,0.04530004377031513,,
,,990,3.75789e-7,0.04770003885655979,,
,,995,3.7056e-7,0.04679994266187875,,
,,1000,3.62077e-7,0.04549993772935327,,
,,1005,3.63888e-7,0.04550001462803912,,
,,1010,3.64091e-7,0.045300024191610354,,
,,1015,3.7397e-7,0.046299956834008865,,
,,1020,3.79059e-7,0.046699959595180134,,
,,1025,3.83364e-7,0.04699994248003113,,
,,1030,3.78677e-7,0.046199956554696005,,
,,1035,3.86281e-7,0.04690000200275629,,
,,1040,3.97251e-7,0.048000031662738425,,
,,1045,3.98329e-7,0.04789999847317775,,
,,1050,3.98564e-7,0.047700027976585235,,
,,1055,4.07178e-7,0.04849999672050749,,
,,1060,4.0489e-7,0.04799997922686684,,
,,1065,4.1358e-7,0.04879999585621283,,
,,1070,4.18928e-7,0.04920004213768467,,
,,1075,4.14897e-7,0.048499995058472356,,
,,1080,4.20265e-7,0.0489000532059598,,
,,1085,4.26527e-7,0.04939996644267995,,
,,1090,4.22421e-7,0.04869998936961667,,
,,1095,4.22616e-7,0.048499993457150836,,
,,1100,4.33299e-7,0.049499962007556506,,
,,1105,4.23838e-7,0.048200048764242207,,
,,1110,4.29289e-7,0.04860004211412283,,
,,1115,4.25899e-7,0.04800004195771262,,
,,1120,4.31374e-7,0.04840004961963012,,
,,1125,4.41357e-7,0.04930005009103752,,
,,1130,4.17241e-7,0.04640004461509589,,
,,1135,4.30828e-7,0.0476999499475166,,
,,1140,4.39984e-7,0.048500017617440404,,
,,1145,4.33713e-7,0.04759998513769048,,
,,1150,4.41098e-7,0.048200008219587843,,
,,1155,4.3842e-7,0.047699984456687,,
,,1160,4.40318e-7,0.04769999289804657,,
,,1165,4.39435e-7,0.04740002635983624,,
,,1170,4.41321e-7,0.04740002774273166,,
,,1175,4.48817e-7,0.04800000646829652,,
,,1180,4.573e-7,0.04870001086395296,,
,,1185,4.35663e-7,0.04620002296171781,,
,,1190,4.37501e-7,0.04619999756430885,,
,,1195,4.42192e-7,0.04649998790547876,,
,,1200,0,0,,
